x1,x2,y
1.121893,3.048539,0.0
0.428210,0.332918,1.0
-2.963337,-1.812452,0.0
0.351961,0.406262,1.0
2.898703,-0.297381,0.0
0.588352,0.638605,1.0
-1.138883,-0.001368,0.0
0.520687,0.581009,1.0
-1.671790,-2.177542,0.0
0.481937,0.522592,1.0
1.966060,2.762849,0.0
0.592805,0.674852,1.0
-1.114342,-0.941041,0.0
0.619207,0.415354,1.0
3.020705,-1.204176,0.0
0.623520,0.501890,1.0
3.237629,2.031440,0.0
0.592933,0.428547,1.0
-2.141845,-0.995153,0.0
0.380570,0.447921,1.0
-1.809168,-2.286695,0.0
0.369786,0.393269,1.0
3.424803,-3.339614,0.0
0.495654,0.656929,1.0
-1.746161,3.675528,0.0
0.427976,0.388537,1.0
-3.035392,-3.838732,0.0
0.340994,0.480083,1.0
1.064132,-0.531733,0.0
0.600299,0.629108,1.0
-1.506419,0.419703,0.0
0.640887,0.388529,1.0
2.157530,-0.596414,0.0
0.451975,0.548874,1.0
-3.353855,2.355874,0.0
0.621387,0.650028,1.0
-1.499540,-0.973026,0.0
0.651704,0.594082,1.0
0.775248,3.593497,0.0
0.525880,0.666646,1.0
0.234964,2.241482,0.0
0.428008,0.535954,1.0
-2.315857,-0.613783,0.0
0.681781,0.488322,1.0
2.500880,-1.913101,0.0
0.389287,0.551414,1.0
2.398914,0.339493,0.0
0.473922,0.605898,1.0
-3.226105,-3.344058,0.0
0.665363,0.558495,1.0
-1.585616,3.144651,0.0
0.466741,0.323491,1.0
-3.627220,2.110738,0.0
0.539467,0.622654,1.0
-3.002421,-3.486314,0.0
0.454660,0.478916,1.0
0.672235,3.857181,0.0
0.594771,0.523086,1.0
0.280799,0.394197,0.0
0.656870,0.618577,1.0
2.351714,2.658753,0.0
0.472338,0.381952,1.0
-0.646019,-0.044296,0.0
0.565697,0.662666,1.0
-1.512885,0.943985,0.0
0.518562,0.469984,1.0
-1.557258,-3.838576,0.0
0.441563,0.341118,1.0
1.262974,3.008414,0.0
0.644468,0.568259,1.0
0.649011,3.520541,0.0
0.445402,0.463152,1.0
-1.981133,1.293182,0.0
0.690589,0.528871,1.0
0.566066,-2.136071,0.0
0.625464,0.366845,1.0
1.243842,1.254384,0.0
0.450063,0.404617,1.0
1.894297,-2.155236,0.0
0.507914,0.317584,1.0
2.603958,-1.084922,0.0
0.553441,0.676070,1.0
0.294739,0.674271,0.0
0.452395,0.398880,1.0
1.521531,-3.821691,0.0
0.594064,0.629917,1.0
-1.784649,-3.594656,0.0
0.595928,0.369288,1.0
-1.464351,-2.340621,0.0
0.324528,0.541335,1.0
-1.761143,1.461914,0.0
0.676285,0.522091,1.0
1.684428,-3.819263,0.0
0.670530,0.603660,1.0
-3.565833,-3.546942,0.0
0.599928,0.383625,1.0
1.634354,-3.017354,0.0
0.650631,0.562685,1.0
-1.143383,2.360348,0.0
0.477818,0.484675,1.0
0.714550,-2.559057,0.0
0.455512,0.382811,1.0
-0.017070,1.703037,0.0
0.547129,0.601218,1.0
-0.531167,3.667973,0.0
0.466946,0.557260,1.0
-0.454454,-1.804102,0.0
0.349488,0.438358,1.0
-0.239999,-1.062882,0.0
0.404452,0.629479,1.0
3.130396,1.557846,0.0
0.403751,0.450515,1.0
-1.820669,-0.576487,0.0
0.427262,0.391696,1.0
2.657101,2.890786,0.0
0.460791,0.317960,1.0
1.029669,-2.555490,0.0
0.681310,0.573740,1.0
2.952093,0.019300,0.0
0.334261,0.519681,1.0
-0.581524,-0.274527,0.0
0.568381,0.584286,1.0
3.787335,-2.065577,0.0
0.511356,0.553257,1.0
-2.165665,-3.531625,0.0
0.601785,0.407097,1.0
3.577109,-1.921177,0.0
0.642243,0.377220,1.0
0.630298,1.022048,0.0
0.600788,0.440281,1.0
-1.789257,-3.042823,0.0
0.699037,0.512364,1.0
3.795877,1.101776,0.0
0.517697,0.328674,1.0
2.542385,1.463457,0.0
0.649870,0.567892,1.0
-2.704074,3.225943,0.0
0.532265,0.382616,1.0
-1.417498,-2.683456,0.0
0.435796,0.624501,1.0
1.763233,2.452905,0.0
0.652134,0.621668,1.0
1.602687,2.968764,0.0
0.470050,0.335151,1.0
3.536642,-3.454481,0.0
0.619219,0.615668,1.0
0.746615,-1.845716,0.0
0.481917,0.572778,1.0
-0.339017,-3.866470,0.0
0.399589,0.484195,1.0
-0.626051,0.154820,0.0
0.338730,0.439762,1.0
-0.517205,-3.459491,0.0
0.373821,0.610008,1.0
2.014787,2.733259,0.0
0.346449,0.560818,1.0
3.210720,2.174701,0.0
0.469395,0.523481,1.0
-3.127800,3.060330,0.0
0.590557,0.488684,1.0
-3.512101,2.512245,0.0
0.516099,0.683758,1.0
0.483217,1.630215,0.0
0.378365,0.577534,1.0
-1.663876,-1.771764,0.0
0.621524,0.552812,1.0
0.246812,-1.433796,0.0
0.314621,0.429415,1.0
1.501234,-1.757162,0.0
0.406983,0.365320,1.0
0.811077,-2.628289,0.0
0.384827,0.393602,1.0
3.346337,3.885368,0.0
0.488466,0.656197,1.0
-0.070748,-3.461708,0.0
0.462465,0.451388,1.0
3.344951,-3.803498,0.0
0.578215,0.661771,1.0
1.702111,-3.019834,0.0
0.512568,0.522648,1.0
-3.137756,-0.473388,0.0
0.487977,0.437648,1.0
0.968465,-1.607068,0.0
0.572431,0.647709,1.0
2.737429,3.568808,0.0
0.446780,0.437539,1.0
-3.651492,-0.223052,0.0
0.651743,0.442165,1.0
-0.618116,0.927422,0.0
0.396767,0.666709,1.0
-2.224231,2.749697,0.0
0.456688,0.555156,1.0
-3.803429,-3.230823,0.0
0.405281,0.552916,1.0
3.073430,3.534490,0.0
0.468289,0.328988,1.0
-3.747662,-1.955106,0.0
0.599343,0.556410,1.0
1.586613,-1.993167,0.0
0.594421,0.636852,1.0
1.474818,-1.136900,0.0
0.609077,0.563782,1.0
-0.210468,3.856262,0.0
0.676424,0.450060,1.0
-2.641476,2.309539,0.0
0.523115,0.587335,1.0
-3.153301,3.474298,0.0
0.588420,0.578059,1.0
-1.196676,3.661256,0.0
0.527234,0.615531,1.0
2.584518,-0.209094,0.0
0.435052,0.522750,1.0
-0.907127,2.908179,0.0
0.651741,0.416726,1.0
2.850033,0.707963,0.0
0.691828,0.552889,1.0
2.029193,3.041465,0.0
0.330899,0.420003,1.0
-2.067456,1.258837,0.0
0.688562,0.459884,1.0
3.271560,2.904679,0.0
0.435427,0.427025,1.0
-1.866542,0.635252,0.0
0.421788,0.390058,1.0
-3.733071,1.473206,0.0
0.696226,0.472543,1.0
2.451608,-3.220034,0.0
0.610551,0.537199,1.0
0.194294,-2.704336,0.0
0.439780,0.382142,1.0
-0.629375,-1.106739,0.0
0.604291,0.516952,1.0
2.248517,-0.168489,0.0
0.480098,0.412681,1.0
0.709205,1.200870,0.0
0.326999,0.473131,1.0
0.154141,1.043483,0.0
0.667246,0.597090,1.0
3.764639,-1.311647,0.0
0.395190,0.564726,1.0
-2.914777,3.145888,0.0
0.573626,0.339971,1.0
-0.193692,-2.776183,0.0
0.515261,0.593320,1.0
0.424382,3.385732,0.0
0.562569,0.489672,1.0
0.324930,1.095915,0.0
0.440635,0.351388,1.0
-2.478326,-1.224298,0.0
0.481103,0.495910,1.0
1.116252,1.850702,0.0
0.415727,0.530983,1.0
-1.324276,-3.707676,0.0
0.463781,0.572454,1.0
2.751870,-3.328645,0.0
0.349110,0.488152,1.0
1.324480,-0.671996,0.0
0.508511,0.351785,1.0
2.772414,-1.230104,0.0
0.676591,0.456969,1.0
-0.456953,2.998912,0.0
0.454795,0.343375,1.0
0.190888,2.457647,0.0
0.673875,0.414823,1.0
0.618174,0.051324,0.0
0.335599,0.605118,1.0
-1.593953,3.434681,0.0
0.443117,0.465523,1.0
2.701027,0.166804,0.0
0.667528,0.541207,1.0
3.106884,-3.600182,0.0
0.312579,0.507242,1.0
2.255528,0.662494,0.0
0.564825,0.421313,1.0
-1.727388,-0.612377,0.0
0.505215,0.552385,1.0
0.730418,-1.065131,0.0
0.466443,0.505768,1.0
2.715597,3.232748,0.0
0.396927,0.550625,1.0
1.078652,1.708263,0.0
0.447189,0.502523,1.0
0.082327,3.070514,0.0
0.568381,0.578347,1.0
-0.324701,2.744713,0.0
0.560684,0.421715,1.0
-2.630063,-0.861858,0.0
0.466393,0.468778,1.0
1.107911,2.061557,0.0
0.550298,0.664973,1.0
-1.775953,2.155356,0.0
0.595816,0.484260,1.0
-2.741620,-3.812532,0.0
0.488353,0.355600,1.0
-2.419897,-2.010704,0.0
0.679448,0.485065,1.0
3.590735,0.891448,0.0
0.436670,0.514737,1.0
1.685718,2.270694,0.0
0.516192,0.643682,1.0
1.231952,-3.583290,0.0
0.471519,0.625333,1.0
1.393057,-2.482670,0.0
0.535782,0.679950,1.0
0.312045,2.939173,0.0
0.565597,0.590524,1.0
-3.069339,2.816131,0.0
0.516356,0.592428,1.0
-3.139938,1.854091,0.0
0.536253,0.603388,1.0
0.799973,-2.055067,0.0
0.443377,0.433429,1.0
-1.249516,-3.010850,0.0
0.656535,0.575727,1.0
-1.092622,-2.493306,0.0
0.402270,0.349087,1.0
0.023348,2.417718,0.0
0.324957,0.545229,1.0
3.138047,-2.447231,0.0
0.438185,0.375713,1.0
-1.709117,2.272301,0.0
0.590674,0.462761,1.0
2.385761,-2.307404,0.0
0.554489,0.690883,1.0
3.266323,0.691947,0.0
0.487775,0.633231,1.0
0.122451,-1.159321,0.0
0.483865,0.522252,1.0
-0.326611,1.849885,0.0
0.511223,0.320215,1.0
-0.801032,-0.142985,0.0
0.461925,0.567171,1.0
2.638597,3.897170,0.0
0.660405,0.424677,1.0
0.743204,3.234221,0.0
0.467144,0.681026,1.0
1.888880,0.400810,0.0
0.626616,0.529464,1.0
0.064928,-0.751114,0.0
0.317124,0.510175,1.0
-3.822541,3.147784,0.0
0.367108,0.585300,1.0
0.837897,3.535761,0.0
0.356958,0.401480,1.0
3.558174,-0.361709,0.0
0.343679,0.414091,1.0
2.425568,3.714732,0.0
0.617571,0.508603,1.0
3.559976,-1.289950,0.0
0.479576,0.429322,1.0
2.402065,-1.286165,0.0
0.357704,0.536569,1.0
-3.553399,2.623410,0.0
0.410174,0.394358,1.0
1.311416,-1.833590,0.0
0.533613,0.638418,1.0
-0.195767,1.350496,0.0
0.488829,0.341324,1.0
-1.340473,-2.921718,0.0
0.542253,0.646769,1.0
-0.900675,2.155769,0.0
0.551381,0.456436,1.0
-3.545882,-3.630529,0.0
0.556377,0.421770,1.0
-0.232270,-3.760422,0.0
0.597124,0.462565,1.0
0.426827,-2.319842,0.0
0.634066,0.543749,1.0
1.868386,-0.838148,0.0
0.502671,0.593480,1.0
-1.580003,3.888308,0.0
0.622767,0.643987,1.0
-0.250737,-2.142360,0.0
0.405108,0.451684,1.0
-0.932837,-0.184073,0.0
0.647845,0.527187,1.0
2.437969,1.546843,0.0
0.520346,0.450485,1.0
3.874975,-3.294298,0.0
0.353062,0.515435,1.0
-3.742284,2.631936,0.0
0.559288,0.555565,1.0
-2.444178,3.303075,0.0
0.611781,0.405980,1.0
-3.770119,2.810808,0.0
0.328119,0.490593,1.0
-1.976100,0.079969,0.0
0.625358,0.592150,1.0
-0.674546,-3.696519,0.0
0.479988,0.558289,1.0
1.216534,2.487687,0.0
0.630901,0.551471,1.0
-2.574753,0.524057,0.0
0.583147,0.357115,1.0
2.670969,1.974303,0.0
0.546794,0.574084,1.0
-1.481871,-0.402091,0.0
0.517633,0.465434,1.0
-2.957693,-0.548930,0.0
0.578308,0.620728,1.0
-2.581531,3.606713,0.0
0.632500,0.624552,1.0
2.959158,1.769752,0.0
0.644747,0.470207,1.0
1.442006,1.203224,0.0
0.511451,0.562571,1.0
0.702201,0.499183,0.0
0.647840,0.454185,1.0
-0.133548,1.854879,0.0
0.415375,0.610801,1.0
-3.217300,-3.554861,0.0
0.451136,0.443202,1.0
3.896868,-1.937492,0.0
0.580258,0.592985,1.0
0.020648,3.828240,0.0
0.450464,0.348418,1.0
-0.828561,-2.621442,0.0
0.684542,0.498720,1.0
1.666768,3.562416,0.0
0.536998,0.318995,1.0
-2.876914,-0.098924,0.0
